antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({888, 1304})","frozenset({399, 295})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({232, 475})","frozenset({708, 1284, 1534})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1284, 1534})","frozenset({232, 475, 708})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({232, 708})","frozenset({475, 1284, 1534})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({475, 1284, 1534})","frozenset({232, 708})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({232, 475, 708})","frozenset({1284, 1534})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({708, 1284, 1534})","frozenset({232, 475})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1284, 1534})","frozenset({232, 708})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({232, 708})","frozenset({1284, 1534})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({664, 364})","frozenset({697, 1036, 1286})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({664, 1036})","frozenset({697, 364, 1286})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
